,table,field,field_after_change,is_closed
108,ord_SuggestionUnits,GeographicalLocationID,Geographical Location ID,1
109,ord_SuggestionUnits,MainUnitCode,Main Unit Code,0
110,ord_SuggestionUnits,PermittedUnitCount,Permitted Unit Count,0
111,ord_SuggestionUnits,MaxPermittedPost,Max Permitted Post,0
112,ord_SuggestionUnits,Address,Address,1
113,ord_SuggestionUnits,Phone,Phone,1
114,ord_SuggestionUnits,Fax,Fax,0
115,ord_SuggestionUnits,InternetAddress,Internet Address,1
116,ord_SuggestionUnits,PostalCode,Postal Code,0
117,ord_SuggestionUnits,Email,Email,0
118,ord_SuggestionUnits,EconomicNo,Economic No,0
119,ord_SuggestionUnits,TaxClassifiedsNo,Tax Classifieds No,0
120,ord_SuggestionUnits,TaxAreasNo,Tax Areas No,0
121,ord_SuggestionUnits,UnitLevelID,Unit Level ID,1
122,ord_SuggestionUnits,UnitStatusID,Unit Status ID,1
123,ord_SuggestionUnits,UnitTypeID,Unit Type ID,1
124,ord_SuggestionUnits,OperationalNatureID,Operational Nature ID,1
125,ord_SuggestionUnits,DepartmentNatureID,Department Nature ID,1
126,ord_SuggestionUnits,Adjutancy,Adjutancy,0
127,ord_SuggestionUnits,Hierarchy-old,Hierarchyold,0
128,ord_JobDutyAssignments-old,DutyDescriptionID,Duty Description ID,1
129,ord_PostLogOperationalUnits,OperationalUnitID,Operational Unit ID,1
130,ord_JobDutyDescriptionDetails-old,JobDutyDescriptionID,Job Duty Description ID,1
131,ord_JobDutyDescriptionDetails-old,Description,Description,0
132,ord_JobDutyDescriptions-old,JobDutyDescriptionType,Job Duty Description Type,0
133,ord_JobExtra,سسسیس,,0
134,ord_JobLogs,JobNo,Job No,0
135,ord_JobLogs,RegistrationDate,Registration Date,0
136,ord_JobLogs,RegistrationPermissionNo,Registration Permission No,0
137,ord_JobLogs,DeletePermissionNo,Delete Permission No,0
138,ord_JobLogs,DeletePermissionDate,Delete Permission Date,0
139,ord_JobLogs,JobDegreeID,Job Degree ID,1
140,ord_JobLogs,EvaluationLevelID,Evaluation Level ID,1
141,ord_JobLogs,EducationLevelID,Education Level ID,1
142,ord_JobLogs,FromJobGroupInterval,From Job Group Interval,0
143,ord_JobLogs,ToJobGroupInterval,To Job Group Interval,0
144,ord_JobLogs,FromJobBaseInterval,From Job Base Interval,0
145,ord_JobLogs,ToJobBaseInterval,To Job Base Interval,0
146,ord_JobLogs,ExtraRecordID,Extra Record ID,1
147,ord_JobLogs,EventID,Event ID,1
148,ord_JobLogs,RequireLanguageLevel,Require Language Level,0
149,ord_JobLogs,EffectiveDate,Effective Date,0
150,ord_JobLogs,Gender,Gender,0
151,ord_Post-old,PostExtraID,Post Extra ID,1
152,ord_Post-old,UnitHierarchy,Unit Hierarchy,0
153,ord_Post-old,_BaseID,Base ID,1
154,ord_Post-old,ExplainEffectiveDate,Explain Effective Date,0
155,ord_PostLogs,ParentPostID,Parent Post ID,1
156,ord_PostLogs,PermissionNo,Permission No,0
157,ord_PostLogs,PermissionDate,Permission Date,0
158,ord_PostLogs,PermissionTitle,Permission Title,0
159,ord_PostLogs,EventComments,Event Comments,0
160,ord_PostLogs,PostSourceHierarchy,Post Source Hierarchy,0
161,ord_PostLogs,PostTargetHierarchy,Post Target Hierarchy,0
162,ord_PostLogs,MasterResponsibleJobID,Master Responsible Job ID,1
163,ord_PostLogs,PostGuid,Post Guid,0
164,ord_PostLogs,UnitGuid,Unit Guid,0
165,ord_PostLogs,PermissionGuid,Permission Guid,0
166,ord_BasePostExtraFieldsMapping,BasePostExtraID,Base Post Extra ID,1
167,ord_UnitCostCenters-old,UnitID,Unit ID,1
168,ord_UnitCostCenters-old,CostCenterID_Back,Cost Center Back,1
169,ord_ItemMatrixes,ItemGuid,Item Guid,0
170,ord_ItemMatrixes,ReferenceFlag,Reference Flag,0
171,ord_ItemMatrixes,ColumnParameterName,Column Parameter Name,0
172,ord_ItemMatrixes,RowParameterName,Row Parameter Name,0
173,ord_ItemMatrixes,ColumnParameterType,Column Parameter Type,0
174,ord_ItemMatrixes,RowParameterType,Row Parameter Type,0
175,ord_ItemMatrixes,ColumnParameterValues,Column Parameter Values,0
176,ord_ItemMatrixes,RowParameterValues,Row Parameter Values,0
177,ord_ItemMatrixes,MiddleValuesRoundingMethod,Middle Values Rounding Method,0
178,ord_UnitDutyDescriptionDetails-old,UnitDutyDescriptionID,Unit Duty Description ID,1
179,ord_ItemMatrixValues,ItemMatrixGuid,Item Matrix Guid,0
180,ord_ItemMatrixValues,RowValue,Row Value,0
181,ord_ItemMatrixValues,ColumnValue,Column Value,0
182,ord_ItemMatrixValues,ReturnValue,Return Value,0
183,ord_UnitDutyDescriptions-old,UnitDutyDescriptionType,Unit Duty Description Type,0
184,ord_ItemTables,ColumnWidth1,Column Width,0
185,ord_UnitLogCostCenters,UnitLogID,Unit Log ID,1
186,ord_UnitLogs,SourceHierarchy,Source Hierarchy,0
187,ord_UnitLogs,TargetHierarchy,Target Hierarchy,0
188,ord_Units-old,DepartmentExtraID,Department Extra ID,1
189,ord_Units-old,GeographicalLocationID_Back,Geographical Location Back,1
190,ord_ItemTableValues,ItemTableGuid,Item Table Guid,0
191,ord_SuggestionStructureTree,ParentGuid,Parent Guid,0
192,ord_SuggestionStructureTree,SuggestionStructureGuid,Suggestion Structure Guid,0
193,ord_SuggestionStructureTree,Hierarchy,Hierarchy,0
194,ord_SuggestionStructureTree,Order,Order,0
195,ord_SuggestionStructureTree,ReferenceGuid,Reference Guid,0
196,ord_ExtraGrids,OrderField,Order Field,0
197,ord_ExtraGrids,SortDirection,Sort Direction,0
198,ord_ExtraGrids,DynamicTableType,Dynamic Table Type,0
199,ord_BasePostFormSettings,FieldName,Field Name,0
200,ord_BasePostFormSettings,SystemField,System Field,0
201,ord_BasePostFormSettings,DoNotDisplay,Do Not Display,0
202,ord_BasePostFormSettings,IsMandatory,Is Mandatory,0
203,ord_BasePostFormSettings,IsReadOnly,Is Read Only,0
204,ord_JobLogOperationalUnits,JobLogID,Job Log ID,1
205,ord_BasePostLogPostRanks,BasePostLogID,Base Post Log ID,1
206,ord_BasePostLogs,_BaseGuid,Base Guid,0
207,ord_BasePostLogs,_Comment,Comment,0
208,ord_BasePostLogs,PermissionComments,Permission Comments,0
209,ord_BasePostLogs,MaxAssignmentCapacity,Max Assignment Capacity,0
210,ord_JobFormSettings,SendAlertAfterUpdate,Send Alert After Update,0
211,ord_JobFormSettings,UpdateParameterName,Update Parameter Name,0
212,ord_JobFormSettings,FieldType,Field Type,0
213,ord_BasePostLogSubAssignments,SubAssignmentGuid,Sub Assignment Guid,0
214,ord_JobItemCalcs,ItemID,Item ID,1
215,ord_JobItemCalcs,ConditionCount,Condition Count,0
216,ord_JobItemCalcs,FormulaCount,Formula Count,0
217,ord_JobItemCalcs,ConditionText,Condition Text,0
218,ord_JobItemCalcs,FormulaText,Formula Text,0
219,ord_JobItemCalcs,Condition,Condition,0
220,ord_JobItemCalcs,Formula,Formula,0
221,ord_JobItems,DisplayTitle,Display Title,0
222,ord_JobItems,ParameterName,Parameter Name,0
223,ord_JobItems,OperationalUnitId,Operational Unit Id,0
224,ord_PostFormSettings,DecreeDrawPrerequisite,Decree Draw Prerequisite,0
225,ord_PostFormSettings,IsStatisticalInformation,Is Statistical Information,0
226,ord_PostPostRanks-old,PostID,Post ID,1
227,ord_JobLogEducationFields,EducationFieldID,Education Field ID,1
228,ord_UnitFormSettings,IsRelation,Is Relation,0
229,ord_PermissionActions,ActionDate,Action Date,0
230,ord_PermissionActions,ActionEffectiveDate,Action Effective Date,0
231,ord_PermissionActions,Action,Action,0
232,ord_PermissionActions,StructureGuid,Structure Guid,0
233,ord_PermissionActions,TargetStructureGuid,Target Structure Guid,0
234,ord_PermissionActions,Related,Related,0
235,bdg_PredefinedFactorChainStructure,ActionSchemaGuid,Action Schema Guid,0
236,bdg_PredefinedFactorChainStructure,FactorTypeGuid,Factor Type Guid,0
237,bdg_PredefinedFactorChainStructure,FactorTypeLevel,Factor Type Level,0
238,bdg_PaymentReferences,PaymentSubjectId,Payment Subject Id,0
239,bdg_PredefinedFactorChain,FactorGuid1,Factor Guid,0
240,bdg_CommuniqueReportSettings,PrintTemplateGuid,Print Template Guid,0
241,bdg_CommuniqueReportSettings,CentersFactorTypeGuid,Centers Factor Type Guid,0
242,bdg_CommuniqueReportSettings,CentersFactorTypeLevel,Centers Factor Type Level,0
243,bdg_CommuniqueReportSettings,CentersFactorGuids,Centers Factor Guids,0
244,bdg_CommuniqueReportSettings,CentersFactorTitles,Centers Factor Titles,0
245,bdg_CommuniqueReportSettings,CommuniqueTotalColumnFactorTypeGuid,Communique Total Column Factor Type Guid,0
246,bdg_CommuniqueReportSettings,CommuniqueTotalColumnFactorTypeLevel,Communique Total Column Factor Type Level,0
247,bdg_CommuniqueReportSettings,GroupedByFactorTypeGuid,Grouped By Factor Type Guid,0
248,bdg_CommuniqueReportSettings,GroupedByFactorTypeLevel,Grouped By Factor Type Level,0
249,bdg_CommuniqueReportSettings,CommuniqueTotalColumnFactorGuids,Communique Total Column Factor Guids,0
250,bdg_CommuniqueReportSettings,CommuniqueTotalColumnFactorTitles,Communique Total Column Factor Titles,0
251,bdg_CommuniqueReportSettings,UseSelectedCentersFactors,Use Selected Centers Factors,0
252,bdg_CommuniqueReportSettings,UseSelectedCommuniqueTotalColumnFactors,Use Selected Communique Total Column Factors,0
253,bdg_CommuniqueReportSettings,RowFactorTypeGuid,Row Factor Type Guid,0
254,bdg_CommuniqueReportSettings,RowFactorTypeLevel,Row Factor Type Level,0
255,bdg_CommuniqueReportSettings,SeparationFactorTypeGuid,Separation Factor Type Guid,0
256,bdg_CommuniqueReportSettings,SeparationFactorTypeLevel,Separation Factor Type Level,0
257,bdg_PaymentRequests,BudgetType,Budget Type,0
258,bdg_PaymentRequests,ProgramID,Program ID,1
259,bdg_PaymentRequests,PlanID,Plan ID,1
260,bdg_PaymentRequests,Amount,Amount,0
261,bdg_PaymentRequests,Status,Status,0
262,bdg_PaymentRequests,FiscalYear,Fiscal Year,0
263,bdg_PaymentRequests,SundriesRow,Sundries Row,0
264,bdg_PaymentRequests,RevenueCode,Revenue Code,0
265,bdg_PaymentRequests,ApprovedCredit,Approved Credit,0
266,bdg_PaymentRequests,AllocationQuarter,Allocation Quarter,0
267,bdg_PaymentRequests,AllocatedQuarterAmount,Allocated Quarter Amount,0
268,bdg_PaymentRequests,ReceivedUpToThisRequest,Received Up To This Request,0
269,bdg_PaymentRequests,AccountBalanceUpToNow,Account Balance Up To Now,0
270,bdg_PaymentRequests,BankAcountID,Bank Acount ID,1
271,bdg_PaymentRequests,BankTitle,Bank Title,0
272,bdg_PaymentRequests,BankBranch,Bank Branch,0
273,bdg_PaymentRequests,BankCode,Bank Code,0
274,bdg_PaymentRequests,AllocationID,Allocation ID,1
275,bdg_PaymentRequests,TreasuryPaid,Treasury Paid,0
276,bdg_PaymentRequests,PaymentRequestType,Payment Request Type,0
277,bdg_PaymentRequests,RequestPlanType,Request Plan Type,0
278,bdg_Payments,CreditSupplyId,Credit Supply Id,0
279,bdg_Payments,RegisterDate,Register Date,0
280,bdg_Payments,IsAutomatic,Is Automatic,0
281,bdg_CalculateRemainingOverrides,SchemaActionGuid,Schema Action Guid,0
282,bdg_CalculateRemainingOverrides,BatchID,Batch ID,1
283,bdg_CalculateRemainingOverrides,PaymentTypeGuid,Payment Type Guid,0
284,bdg_SignatoriesGroupSignatories,SignatoryGroupGuid,Signatory Group Guid,0
285,bdg_SignatoriesGroupSignatories,StaffGuid,Staff Guid,0
286,bdg_SignatoriesGroupSignatories,Line1,Line,0
287,bdg_Plans,DepartmentId,Department Id,0
288,bdg_Plans,UtilizerId,Utilizer Id,0
289,bdg_PlansExtra,DevelopmentSchemeId,Development Scheme Id,0
290,bdg_ActionTypeStatesAccessCodes,ActionTypeStatesActionTypeGuid,Action Type States Action Type Guid,0
291,bdg_ActionTypeStatesAccessCodes,RoleObject,Role Object,0
292,bdg_PredefinedDescriptions,Text,Text,0
293,bdg_Factors_BeforeUndeleted_9811,ChildCount,Child Count,0
294,bdg_Factors_BeforeUndeleted_9811,PaymentNature,Payment Nature,0
295,bdg_Factors_BeforeUndeleted_9811,PaymentType,Payment Type,0
296,bdg_Factors_BeforeUndeleted_9811,ProjectGuid,Project Guid,0
297,bdg_Factors_BeforeUndeleted_9811,ExtraRecordGuid,Extra Record Guid,0
298,bdg_Factors_BeforeUndeleted_9811,UseInDefinitePayment,Use In Definite Payment,0
299,bdg_Factors_BeforeUndeleted_9811,HierarchyID,Hierarchy ID,1
300,bdg_Factors_BeforeUndeleted_9811,AccessOfAll,Access Of All,0
301,bdg_Factors_BeforeUndeleted_9811,FactorLevel,Factor Level,0
302,bdg_Projects,StartDate,Start Date,0
303,bdg_Projects,EstimatedEndDate,Estimated End Date,0
304,bdg_Projects,ContractType,Contract Type,0
305,bdg_Projects,PlanId,Plan Id,0
306,bdg_FinancialVoucherArticleTemplateTypeHolders,VoucherTemplateGuid,Voucher Template Guid,0
307,bdg_FinancialVoucherArticleTemplateTypeHolders,VoucherArticleGuid,Voucher Article Guid,0
308,bdg_FinancialVoucherArticleTemplateTypeHolders,LogicalDatabaseGuid,Logical Database Guid,0
309,bdg_FinancialVoucherArticleTemplateTypeHolders,TemplateType,Template Type,0
310,bdg_FinancialVoucherArticleTemplateTypeHolders,ArticleTemplateType,Article Template Type,0
311,bdg_FinancialVoucherArticleTemplateTypeHolders,NotGrouping,Not Grouping,0
312,bdg_ReturnedCredits,CreditSupplyDetailID,Credit Supply Detail ID,1
313,bdg_ReturnedCredits,PaymentDetailID,Payment Detail ID,1
314,bdg_DynamicReportCalculativeColumns,DynamicReportGuid,Dynamic Report Guid,0
315,bdg_DynamicReportCalculativeColumns,Query,Query,0
316,bdg_DynamicReportCalculativeColumns,DisplayName,Display Name,0
317,bdg_AgentsSettingCriteriaStructure,AgentsCreditAllocationActionTypeGuid,Agents Credit Allocation Action Type Guid,0
318,bdg_factors_950309_BeforeMoveParameterFromOmrani,FiscalYearDetailGuid,Fiscal Year Detail Guid,0
319,bdg_TemplateKeys,Field,Field,0
320,bdg_TemplateKeys,Suffix,Suffix,0
321,bdg_TemplateKeys,Prefix,Prefix,0
322,bdg_PaymentRequestPrintSettings,Keys,Keys,0
323,bdg_PaymentRequestPrintSettings,Values,Values,0
324,bdg_UnitsAgreement,ReceivedAgreementSum,Received Agreement Sum,0
325,bdg_UnitsAgreement,AgreementType,Agreement Type,0
326,bdg_UnitsAgreement,UnitsAgreementNo,Units Agreement No,0
327,bdg_UnitsAgreement,RegistrarStaffID,Registrar Staff ID,1
328,bdg_UnitsAgreementDetails,UnitsAgreementID,Units Agreement ID,1
329,bdg_UnitsAgreementDetails,ExpenseID,Expense ID,1
330,bdg_UnitsAllocation,ReceivedAllocationSum,Received Allocation Sum,0
331,bdg_UnitsAllocation,AllocationNo,Allocation No,0
332,bdg_SchemaActions_940304,PrerequisiteActionTypeGuid,Prerequisite Action Type Guid,0
333,bdg_SchemaActions_940304,IndexingGroupGuid,Indexing Group Guid,0
334,bdg_SchemaActions_940304,ActionTypeGuid,Action Type Guid,0
335,bdg_SchemaActions_940304,ControlRemaining,Control Remaining,0
336,bdg_UnitsAllocationDetails,UnitsAllocationID,Units Allocation ID,1
337,bdg_VoucherSignatures,VoucherSignatureSetId,Voucher Signature Set Id,0
338,bdg_VoucherSignatures,OrderIndex,Order Index,0
339,bdg_CommuniqueDynamicPrintSettings,FilteredFactorGuids,Filtered Factor Guids,0
340,bdg_CommuniqueDynamicPrintSettings,ColumnType,Column Type,0
341,bdg_VoucherSignatureSets,Current,Current,0
342,bdg_ExpenseVouchersLevels,FiscalYearID,Fiscal Year ID,1
343,bdg_ExpenseVouchersLevels,ExpenseVoucherID,Expense Voucher ID,1
344,bdg_ExpenseVouchersLevels,ExpenseLevel,Expense Level,0
345,bdg_ExpenseVouchersLevels,ActivityLevel,Activity Level,0
346,bdg_ExpenseVouchersLevels,PaymentExpenseLevel,Payment Expense Level,0
347,bdg_ExpenseVouchersLevels,FundLevel,Fund Level,0
348,bdg_CreditSupplies,VoucherId,Voucher Id,0
349,bdg_CreditSupplies,TrackingNo,Tracking No,0
350,bdg_CreditSupplies,CreditSupplyRowsSum,Credit Supply Rows Sum,0
351,bdg_factortypelevels_Accrual_Fosool,Level,Level,0
352,bdg_factortypelevels_Accrual_Fosool,DigitCount,Digit Count,0
353,bdg_factortypelevels_Accrual_Fosool,LinkToProject,Link To Project,0
354,bdg_factortypelevels_Accrual_Fosool,PrerequisiteActionAmountsDepandeble,Prerequisite Action Amounts Depandeble,0
355,bdg_factortypes_Accrual_Fosool,FactorGenericType,Factor Generic Type,0
356,bdg_factortypes_Accrual_Fosool,ListDisplayType,List Display Type,0
357,bdg_factortypes_Accrual_Fosool,FactorDisplayType,Factor Display Type,0
358,bdg_factortypes_Accrual_Fosool,SearchControlType,Search Control Type,0
359,bdg_FactorsValidityRange,StartFiscalYearDetailGuid,Start Fiscal Year Detail Guid,0
360,bdg_FactorsValidityRange,EndFiscalYearDetailGuid,End Fiscal Year Detail Guid,0
361,bdg_FactorTypeLevelCodeLengthValidityRange,FactorTypeLevelGuid,Factor Type Level Guid,0
362,bdg_ActionTypeGroups,DisplayTemplate,Display Template,0
363,bdg_ActionTypeGroups,Priority,Priority,0
364,bdg_AllocationByUnits,AllocationType,Allocation Type,0
365,bdg_ExtraFieldTableGuids,Entity,Entity,0
366,bdg_AllocationByUnitDetails,AllocationByUnitID,Allocation By Unit ID,1
367,bdg_AllocationByUnitDetails,RemainedCredit,Remained Credit,0
368,bdg_ActionDetailFiscalSubtractionAdditions,ActionDetailGuid,Action Detail Guid,0
369,bdg_ActionDetailFiscalSubtractionAdditions,FiscalSubtractionAdditionGuid,Fiscal Subtraction Addition Guid,0
370,bdg_ActionTypeFactors_950320,Required,Required,0
371,bdg_ActionTypeFactors_950320,ControlType,Control Type,0
372,bdg_ActionTypeFactors_950320,CalculativeFieldOperatorType,Calculative Field Operator Type,0
373,bdg_ActionTypeFactors_950320,GlobalFactor,Global Factor,0
374,bdg_ActionTypeFactors_950320,ControlWidth,Control Width,0
375,bdg_ActionTypeFactors_950320,ShowEfficientControl,Show Efficient Control,0
376,bdg_ActionTypeFactors_950320,DefaultFactorGuid,Default Factor Guid,0
377,bdg_ActionTypeFactors_950320,UseForActionAutofill,Use For Action Autofill,0
378,bdg_ActionTypeFactors_950320,ShowInExceptionList,Show In Exception List,0
379,bdg_ActionTypeFactors_950320,ShowCodeInDefineAction,Show Code In Define Action,0
380,bdg_ActionTypeFactors_950320,ShowTreeControl,Show Tree Control,0
381,bdg_ActionVoucherInfo,GatewayItemGuid,Gateway Item Guid,0
382,bdg_ActionVoucherInfo,NewStatus,New Status,0
383,bdg_ActionVoucherInfo,PreviousStatus,Previous Status,0
384,bdg_ActionVoucherInfo,ActionGuid,Action Guid,0
385,bdg_ActionVoucherInfo,SourceDBGuid,Source Guid,0
386,bdg_ActionVoucherInfo,NumberOfAttempts,Number Of Attempts,0
387,bdg_ActionVoucherInfo,GatewayPostInfoType,Gateway Post Info Type,0
388,bdg_ActionVoucherInfo,VoucherGuid,Voucher Guid,0
389,bdg_ActionVoucherInfo,TraceNo,Trace No,0
390,bdg_ActionVoucherInfo,TargetDBGuid,Target Guid,0
391,bdg_GatewayCallbackQueue,PostInfo,Post Info,0
392,bdg_ActionDetails,Coefficient,Coefficient,0
393,bdg_ActionDetails,Value,Value,0
394,bdg_ActionDetails,RawAmount,Raw Amount,0
395,bdg_ActionDetails,TotalAmount,Total Amount,0
396,bdg_ActionDetails,SourceActionDetailGuid,Source Action Detail Guid,0
397,bdg_ActionDetails,ActionDetailRelationType,Action Detail Relation Type,0
398,bdg_ActionDetails,FinalFlag,Final Flag,0
399,bdg_ActionDetails,ReturnAmount,Return Amount,0
400,bdg_ActionDetails,BudgetRequestGuid,Budget Request Guid,0
401,bdg_Actions,IssueDate,Issue Date,0
402,bdg_Actions,ActionTypeStateGuid,Action Type State Guid,0
403,bdg_Actions,PrerequisiteActionGuid,Prerequisite Action Guid,0
404,bdg_Actions,Inworkflow,Inworkflow,0
405,bdg_Actions,VoucherGeneratedBySourceSoftware,Voucher Generated By Source Software,0
406,bdg_Actions,LoadPercentage,Load Percentage,0
407,bdg_Actions,UserGuid,User Guid,0
408,bdg_Actions,AutoPayment,Auto Payment,0
409,bdg_Actions,SourceFinancialVoucherGuid,Source Financial Voucher Guid,0
410,bdg_Actions,StatePayment,State Payment,0
411,bdg_Actions,CreateDate,Create Date,0
412,bdg_Actions,Locked,Locked,0
413,bdg_Actions,ActionCategory,Action Category,0
414,bdg_Actions,LockedStartTime,Locked Start Time,0
415,bdg_Actions,WorkFlowStatus,Work Flow Status,0
416,bdg_ActionTypeDataModelFieldGroups,ActionDataModelFieldGroupGuid,Action Data Model Field Group Guid,0
417,bdg_ActionTypeFactors,CreditSiteComparisonBase,Credit Site Comparison Base,0
